2025-05-31 08:52:04,530 - Epoch 167/400, Loss: 0.6148, Train Acc: 0.6825, Val Acc: 0.6698
2025-05-31 08:52:41,031 - Epoch 168/400, Loss: 0.6059, Train Acc: 0.6881, Val Acc: 0.6729
2025-05-31 08:53:17,599 - Epoch 169/400, Loss: 0.6052, Train Acc: 0.6938, Val Acc: 0.6640
2025-05-31 08:53:54,170 - Epoch 170/400, Loss: 0.6084, Train Acc: 0.6876, Val Acc: 0.6627
2025-05-31 08:54:30,831 - Epoch 171/400, Loss: 0.5990, Train Acc: 0.6941, Val Acc: 0.6738
2025-05-31 08:55:07,094 - Epoch 172/400, Loss: 0.6041, Train Acc: 0.6917, Val Acc: 0.6631
2025-05-31 08:55:43,518 - Epoch 173/400, Loss: 0.6054, Train Acc: 0.6879, Val Acc: 0.6676
2025-05-31 08:56:20,065 - Epoch 174/400, Loss: 0.5971, Train Acc: 0.6944, Val Acc: 0.6680
2025-05-31 08:56:56,704 - Epoch 175/400, Loss: 0.6047, Train Acc: 0.6898, Val Acc: 0.6760
2025-05-31 08:57:33,192 - Epoch 176/400, Loss: 0.6017, Train Acc: 0.6906, Val Acc: 0.6645
2025-05-31 08:58:09,647 - Epoch 177/400, Loss: 0.6018, Train Acc: 0.6882, Val Acc: 0.6622
2025-05-31 08:58:46,025 - Epoch 178/400, Loss: 0.5980, Train Acc: 0.6940, Val Acc: 0.6746
2025-05-31 08:59:23,028 - Epoch 179/400, Loss: 0.6023, Train Acc: 0.6892, Val Acc: 0.6653
2025-05-31 08:59:59,464 - Epoch 180/400, Loss: 0.5964, Train Acc: 0.6945, Val Acc: 0.6658
2025-05-31 09:00:35,946 - Epoch 181/400, Loss: 0.5940, Train Acc: 0.6928, Val Acc: 0.6684
2025-05-31 09:01:12,305 - Epoch 182/400, Loss: 0.5978, Train Acc: 0.6927, Val Acc: 0.6698
2025-05-31 09:01:48,871 - Epoch 183/400, Loss: 0.5929, Train Acc: 0.6929, Val Acc: 0.6676
2025-05-31 09:02:25,472 - Epoch 184/400, Loss: 0.5870, Train Acc: 0.6996, Val Acc: 0.6658
2025-05-31 09:03:02,105 - Epoch 185/400, Loss: 0.5846, Train Acc: 0.6999, Val Acc: 0.6702
2025-05-31 09:03:38,471 - Epoch 186/400, Loss: 0.5903, Train Acc: 0.6940, Val Acc: 0.6742
2025-05-31 09:04:14,969 - Epoch 187/400, Loss: 0.5848, Train Acc: 0.6971, Val Acc: 0.6636
2025-05-31 09:04:51,592 - Epoch 188/400, Loss: 0.5931, Train Acc: 0.6925, Val Acc: 0.6645
2025-05-31 09:05:28,291 - Epoch 189/400, Loss: 0.5842, Train Acc: 0.6982, Val Acc: 0.6676
2025-05-31 09:06:04,908 - Epoch 190/400, Loss: 0.5949, Train Acc: 0.6933, Val Acc: 0.6622
2025-05-31 09:06:41,571 - Epoch 191/400, Loss: 0.5870, Train Acc: 0.6939, Val Acc: 0.6658
